name,latitude,longitude
Battle of the Golden Tooth,44.0,-3.5
Battle at the Mummer's Ford,44.5,-2.0
Battle of Riverrun,45.5,-2.5
Battle of the Green Fork,47.0,-1.2
Battle of the Whispering Wood,45.8,-2.5
Battle of the Camps,45.5,-2.5
Sack of Darry,43.0,0.2
Battle of Moat Cailin,50.5,-0.5
Battle of Deepwood Motte,55.5,-4.0
Battle of the Stony Shore,54.5,-5.0
Battle of Torrhen's Square,53.0,-3.0
Battle of Winterfell,54.2,-1.5
Sack of Torrhen's Square,53.0,-3.0
Sack of Winterfell,54.2,-1.5
Battle of Oxcross,43.8,-4.2
Siege of Storm's End,32.0,3.0
Battle of the Fords,45.2,-2.2
Sack of Harrenhal,42.5,-0.5
Battle of the Crag,44.5,-5.0
Battle of the Blackwater,34.5,2.0
Siege of Darry,43.0,0.2
Battle of Duskendale,38.5,1.8
Battle of the Burning Septry,43.5,-2.0
Battle of the Ruby Ford,43.5,0.0
Retaking of Harrenhal,42.5,-0.5
The Red Wedding,48.0,-1.5
Siege of Seagard,47.5,-2.8
Battle of Castle Black,61.9,1.5
Fall of Moat Cailin,50.5,-0.5
Sack of Saltpans,43.2,0.8
Retaking of Deepwood Motte,55.5,-4.0
Battle of the Shield Islands,30.0,-6.0
"Invasion of Ryamsport, Vinetown, and Starfish Harbor",29.5,-5.8
Second Seige of Storm's End,32.0,3.0
Siege of Dragonstone,35.2,3.2
Siege of Riverrun,45.5,-2.5
Siege of Raventree,46.8,-1.8
Siege of Winterfell,54.2,-1.5
