name,latitude,longitude
Godsgrace,27.0,1.5
Appleton,37.5,-3.0
Gulltown,44.0,3.5
The Eyrie (summer),45.0,1.5
Gates of the Moon (winter),44.9,1.5
Ashford,36.5,-1.5
Harrenhal,42.5,-0.5
unnamed tower,,
Banefort,45.5,-5.5
Sharp Point,36.0,3.8
Dragonstone,35.2,3.2
King's Landing,34.5,2.0
Storm's End,32.0,3.0
Dragonstone (House Baratheon of Dragonstone),35.2,3.2
Honeyholt,33.5,-4.8
Strongsong,46.0,1.0
Bandallon,32.8,-5.3
Blackmont,29.5,-2.0
Blacktyde,42.0,-7.2
Raventree Hall,46.8,-1.8
The Dreadfort,56.0,-0.5
Breakwater in Sisterton,47.0,1.5
Lordsport,40.5,-7.0
Stone Hedge,46.0,-1.5
exiles living at Ironrath,55.0,-3.5
Hornvale,44.2,-4.0
Brownhollow,39.0,2.5
The Dyre Den,39.2,2.6
Bronzegate,36.0,2.0
the Antlers,38.8,2.0
Blackcrown,32.5,-5.5
formerly Whitewalls,42.0,-0.5
Fawnton,33.8,1.0
Nightsong,33.5,-1.0
Casterly Rock,43.0,-5.5
Bitterbridge,38.5,-1.5
Claw Isle,36.5,3.5
Castle Cerwyn,53.8,-1.6
Greenshield,38.0,-6.0
Chyttering,36.0,3.5
Clegane's Keep,42.0,-5.0
Coldwater Burn,46.2,2.0
Griffin's Roost,33.0,3.5
Heart's Home,45.5,1.8
Hammerhal,36.0,-2.5
Three Towers,32.5,-5.2
Saltpans,43.2,0.8
The Whispers (former),39.8,2.8
Crakehall,41.0,-4.0
Red Lake,39.5,-4.5
Deepdown,41.0,-6.0
Sunhouse,31.0,-4.0
Lemonwood,25.0,4.0
The Dun Fort,38.5,1.8
Darry,43.0,0.2
High Hermitage,25.5,-3.0
Starfall,25.5,-3.0
Blackhaven,34.0,-0.5
Barrow Hall,51.5,-3.0
the Paps,,
Haystack Hall,35.5,1.5
Greenstone,31.5,5.0
Wyndhall,31.0,4.0
"Faircastle, Fair Isle",45.0,-7.0
Sealskin Point,41.5,-8.0
Lonely Light,42.0,-10.0
Felwood,35.0,1.8
Misty Isle,42.0,-2.0
Stony Shore,54.5,-5.0
northern mountains,56.0,-3.0
Breakstone Hill,56.0,-3.0
Flint's Finger,48.5,-4.5
Widow's Watch,53.5,1.5
Stripped (formerly Brightwater Keep),36.0,-4.5
Tumbleton,39.0,-0.5
Ironrath (Telltale),55.0,-3.5
Cider Hall,37.5,-1.0
New Barrel,38.0,-1.0
Skyreach,29.0,-1.0
Riverrun,45.5,-2.5
The Twins,48.0,-1.5
Highgarden,37.0,-3.5
Salt Shore,25.5,3.0
Rillwater Crossing,53.0,-4.0
Deepwood Motte,55.5,-4.0
Corpse Lake,41.0,-7.8
Crow Spike Keep,41.0,-7.8
Downdelving,41.0,-7.8
Hammerhorn,41.0,-7.8
Shatterstone,41.5,-7.5
Holyhall,37.0,-2.5
Grandview,33.0,2.0
Greenfield,43.5,-4.5
Orkmont,41.2,-7.1
Pyke,40.5,-7.0
Wolf's Den,52.5,-0.5
Grimston,38.0,-6.0
"Grey Garden, Harlaw",41.0,-6.8
Ten Towers,41.0,-6.8
"Harlaw Hall, Harlaw",,
"Harridan Hill, Harlaw",,
"Tower of Glimmering, Harlaw",,
Castlewood,,
Hayford,,
Newkeep,,
Lord Hewett's castle on Oakenshield,,
"The Hightower, Oldtown",,
Hoare Castle,,
Fairmarket,46.0,-2.0
Sow's Horn,36.0,2.0
Extinct,,
Hornwood,55.0,-0.5
Longbow Hall,45.8,2.5
The Tor,28.5,3.5
Karhold,57.0,2.0
Kayce,43.5,-6.0
Ivy Hall,36.0,-2.0
Lannisport,42.8,-5.5
Golden Tooth,44.0,-3.5
Oldcastle,52.0,-0.2
Longsister,47.2,1.2
Castle Lychester,43.5,-1.5
Deep Den,43.8,-4.0
Snakewood,45.2,2.2
Kingshouse,58.0,0.5
Seagard,47.5,-2.8
New Castle in White Harbor,52.5,-0.5
Dunstonbury (formerly),38.0,-2.0
Kingsgrave,30.0,-0.5
Ashemark,44.2,-4.5
Stonedance,36.5,3.6
Grassfield Keep in Grassy Vale,,
Old Anchor,44.5,4.0
Pebbleton,46.8,1.8
Longtable,38.0,-1.2
Mistwood,32.5,3.2
Maidenpool,43.2,1.2
Bear Island,58.5,-5.5
Crow's Nest,33.5,2.5
Oldstones,47.0,-2.5
Uplands,34.0,-4.5
Hag's Mire,47.0,-2.0
Old Palace within Sunspear,26.0,4.5
Old Oak,40.0,-5.5
Extinct (formerly Leafy Lake),,
Standfast,37.0,-2.0
Coldmoat (formally),37.2,-2.0
Starpike,35.0,-1.0
Whitegrove (formerly),37.0,-1.5
Poddingfield,34.0,1.0
Parchments,34.5,1.2
Pinkmaiden Castle,44.8,-3.0
Feastfires,43.2,-6.2
Pebble,46.8,1.8
Sandstone,26.0,-1.5
Redfort,44.2,2.5
The Arbor,28.0,-6.0
Greywater Watch,49.5,-1.0
Castamere,43.8,-5.2
Amberly,32.0,2.5
Lord Harroway's Town,43.5,-0.5
Rosby,35.0,2.1
Goldengrove,39.0,-3.0
The Ring,38.5,-2.5
Runestone,44.5,3.8
Gates of the Moon,44.9,1.5
Rills,53.0,-4.0
Willow Wood,44.0,-1.5
Saltcliffe,40.0,-7.2
Spottswood,27.0,3.0
Sarsfield,43.8,-4.8
Riverspring,44.0,-5.0
Harvest Hall,34.2,-0.2
Silverhill,41.5,-3.5
Southshield,38.0,-6.0
Smithyton,37.0,-1.0
Gull Tower,44.0,3.5
Blackpool,51.5,-2.5
"None, formerly Harrenhal",42.5,-0.5
Acorn Hall,43.5,-2.0
Great Wyk,41.0,-7.8
Broad Arch,32.0,2.0
Driftwood Hall,41.2,-7.5
Scattered (formerly Winterfell),54.2,-1.5
Rook's Rest,39.5,2.2
Stokeworth,35.2,2.0
Old Wyk,41.5,-7.5
Goldgrass,52.0,-3.0
Sisterton,47.0,1.5
Sweetport Sound,36.0,3.2
Stonehelm,30.5,2.5
Cornfield,43.0,-4.5
Torrhen's Square,53.0,-3.0
Tarbeck Hall,43.7,-5.0
Red Keep (formerly),34.5,2.0
Summerhall (formerly),34.5,0.5
Horn Hill,35.0,-4.0
Evenfall Hall,34.0,4.5
Ninestars,45.0,2.5
Ghost Hill,28.0,4.0
The Grey Glen,45.2,2.0
Littlesister,,
Gallowsgrey,,
Scattered (formerly Riverrun),,
Brightwater Keep (disputed by House Florent),36.0,-4.5
Hellholt,26.5,0.0
The Last Hearth,,
Witch Isle,,
Vaith,26.2,0.5
Atranta,44.0,-1.0
Wayfarer's Rest,,
High Tide or Driftmark,,
Volmark,,
Darkdell,,
Wickenden,43.5,2.5
Ironoaks,44.5,2.0
formerly Coldmoat,37.2,-2.0
The Crag,44.5,-5.0
